Branch_Division,Branch_Centre_20_2_2e_0,Branch_Division
Border Operations (BMO),Border Measures Operations (BMO),Border Operations (BMO)
Business Modernization Project Division,Corporate Management Directorate (CMD),Business Modernization Project Division
Centre for Grants & Contributions Division,Deputy Chief Financial Officer (DCFO),Centre for Grants & Contributions Division
Centre of Expertise,Corporate Management Directorate (CMD),Centre of Expertise
Centre of Expertise Business Operations Division,Corporate Management Directorate (CMD),Centre of Expertise Business Operations Division
Centre of Expertise Business Support Services Division,Corporate Management Directorate (CMD),Centre of Expertise Business Support Services Division
Corporate Management Directorate (CMD),Corporate Management Directorate (CMD),Corporate Management Directorate (CMD)
Corporate Services Planning Division,Corporate Management Directorate (CMD),Corporate Services Planning Division
Deputy Chief Financial Officer (DCFO),Deputy Chief Financial Officer (DCFO),Deputy Chief Financial Officer (DCFO)
Director General's Office,Corporate Management Directorate (CMD),Director General's Office
"Financial, Analytics, & Client Service Division",Deputy Chief Financial Officer (DCFO),"Financial, Analytics, & Client Service Division"
Governance & Strategic Planning,Deputy Chief Financial Officer (DCFO),Governance & Strategic Planning
Realignment Project Division,Corporate Management Directorate (CMD),Realignment Project Division
Resource Management,Deputy Chief Financial Officer (DCFO),Resource Management
Resource Management & Analytics,Deputy Chief Financial Officer (DCFO),Resource Management & Analytics
Strategic IM/IT Planning,Corporate Management Directorate (CMD),Strategic IM/IT Planning
Behavioural Science Division,Centre for Strategic Data Partnerships & Insights (SDPI),Behavioural Science Division
Centre for Corporate Surveillance Coordination (CSC),Centre for Corporate Surveillance Coordination (CSC),Centre for Corporate Surveillance Coordination (CSC)
Centre for Data Management Innovation & Analytics (DMIA),Centre for Data Management Innovation & Analytics (DMIA),Centre for Data Management Innovation & Analytics (DMIA)
Centre for Integrated Risk Assessment (CIRA),Centre for Integrated Risk Assessment (CIRA),Centre for Integrated Risk Assessment (CIRA)
Centre for Strategic Data Partnerships & Insights (SDPI),Centre for Strategic Data Partnerships & Insights (SDPI),Centre for Strategic Data Partnerships & Insights (SDPI)
Data Coordination & Access Program,Centre for Data Management Innovation & Analytics (DMIA),Data Coordination & Access Program
"Data Discovery, Acquisition, and Culture",Centre for Data Management Innovation & Analytics (DMIA),"Data Discovery, Acquisition, and Culture"
Data Enablement Division,Centre for Data Management Innovation & Analytics (DMIA),Data Enablement Division
Data Impact,Centre for Data Management Innovation & Analytics (DMIA),Data Impact
Data Integration,Centre for Data Management Innovation & Analytics (DMIA),Data Integration
Data Science,Centre for Data Management Innovation & Analytics (DMIA),Data Science
"Data Strategy, Policy, & Governance Division",Centre for Data Management Innovation & Analytics (DMIA),"Data Strategy, Policy, & Governance Division"
"Governance, Documentation & Continuous Improvement",Centre for Integrated Risk Assessment (CIRA),"Governance, Documentation & Continuous Improvement"
Horizontal Surveillance Projects,Centre for Corporate Surveillance Coordination (CSC),Horizontal Surveillance Projects
"Methods, Approaches & Processes",Centre for Integrated Risk Assessment (CIRA),"Methods, Approaches & Processes"
Office of the Chief Data Officer,Centre for Data Management Innovation & Analytics (DMIA),Office of the Chief Data Officer
Operations Team,Centre for Integrated Risk Assessment (CIRA),Operations Team
Public Health External Partnerships & Coordination Division,Centre for Strategic Data Partnerships & Insights (SDPI),Public Health External Partnerships & Coordination Division
Public Health Intelligence & Knowledge Translation Division,Centre for Strategic Data Partnerships & Insights (SDPI),Public Health Intelligence & Knowledge Translation Division
Surveillance Capacity Building,Centre for Corporate Surveillance Coordination (CSC),Surveillance Capacity Building
Surveillance Strategic Planning & Governance,Centre for Corporate Surveillance Coordination (CSC),Surveillance Strategic Planning & Governance
COVID-19 Incident Management Structure,Centre for Emergency Response (CER),COVID-19 Incident Management Structure
"Emergency Plans, Exercises, & Special Projects",Centre for Emergency Preparedness (CEP),"Emergency Plans, Exercises, & Special Projects"
GPHIN Tiger Team,Centre for Emergency Preparedness (CEP),GPHIN Tiger Team
Horizontal Policy & Governance,Centre for Emergency Preparedness (CEP),Horizontal Policy & Governance
Public Health Field Services & Training,Centre for Emergency Preparedness (CEP),Public Health Field Services & Training
Public Health Response Operations,Centre for Emergency Response (CER),Public Health Response Operations
